date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:23:12	118034/118034	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:23:08%20GMT	https://themes.tielabs.com/sahifa/product-tag/color/?demo=dark&add-to-cart=405	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/color/index7d1b.html	(from https://themes.tielabs.com/sahifa/product-tag/color/?demo=dark)
23:23:13	111891/111891	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:23:09%20GMT	https://themes.tielabs.com/sahifa/product-tag/color/page/2/?demo=dark	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/color/page/2/indexf890.html	(from https://themes.tielabs.com/sahifa/product-tag/color/?demo=dark)
23:23:15	111966/111966	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:23:11%20GMT	https://themes.tielabs.com/sahifa/product-tag/color/page/2/?add-to-cart=407	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/color/page/2/index8f84.html	(from https://themes.tielabs.com/sahifa/product-tag/color/page/2/)
23:23:15	111962/111962	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:23:11%20GMT	https://themes.tielabs.com/sahifa/product-tag/color/page/2/?add-to-cart=406	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/color/page/2/index6237.html	(from https://themes.tielabs.com/sahifa/product-tag/color/page/2/)
23:23:17	111951/111951	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:23:13%20GMT	https://themes.tielabs.com/sahifa/product-tag/color/page/2/?add-to-cart=395	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/color/page/2/index149d.html	(from https://themes.tielabs.com/sahifa/product-tag/color/page/2/)
23:23:18	111961/111961	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:23:13%20GMT	https://themes.tielabs.com/sahifa/product-tag/color/page/2/?add-to-cart=67	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/color/page/2/index1950.html	(from https://themes.tielabs.com/sahifa/product-tag/color/page/2/)
23:23:19	111961/111961	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:23:15%20GMT	https://themes.tielabs.com/sahifa/product-tag/color/page/2/?add-to-cart=408	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/color/page/2/indexa948.html	(from https://themes.tielabs.com/sahifa/product-tag/color/page/2/)
23:23:20	111959/111959	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:23:15%20GMT	https://themes.tielabs.com/sahifa/product-tag/color/page/2/?add-to-cart=382	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/color/page/2/indexd1d4.html	(from https://themes.tielabs.com/sahifa/product-tag/color/page/2/)
23:23:21	111957/111957	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:23:17%20GMT	https://themes.tielabs.com/sahifa/product-tag/color/page/2/?add-to-cart=392	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/color/page/2/index3769.html	(from https://themes.tielabs.com/sahifa/product-tag/color/page/2/)
23:23:22	111961/111961	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20May%202018%2016:23:18%20GMT	https://themes.tielabs.com/sahifa/product-tag/color/page/2/?add-to-cart=396	C:/xampp/htdocs/beritaindonesia/template/berita%20indonesia/themes.tielabs.com/sahifa/product-tag/color/page/2/index2766.html	(from https://themes.tielabs.com/sahifa/product-tag/color/page/2/)
